id,country,region,city,state,latitude,longitude,population,population_source,population_date,gdp,gdp_source,gdp_date,age,capture_date,notes,map_url
697,us,Northern America,Chanute,KS,37.67921,-95.4572,9018,http://worldpopulationreview.com/us-cities/chanute-ks-population,2018,436.840938,http://worldpopulationreview.com/us-cities/chanute-ks-population,,,,,"https://www.google.com/maps/@37.67921,-95.4572,20000m/data=!3m1!1e3"
698,us,Northern America,Coffeyville,KS,37.0373,-95.61637,9366,http://worldpopulationreview.com/us-cities/coffeyville-ks-population,2018,500.959242,http://worldpopulationreview.com/us-cities/coffeyville-ks-population,,,,,"https://www.google.com/maps/@37.0373,-95.61637,20000m/data=!3m1!1e3"
699,us,Northern America,Council Grove,KS,38.66112,-96.49195,2079,http://worldpopulationreview.com/us-cities/council-grove-ks-population,2018,103.340853,http://worldpopulationreview.com/us-cities/council-grove-ks-population,,,,,"https://www.google.com/maps/@38.66112,-96.49195,20000m/data=!3m1!1e3"
700,us,Northern America,Dodge City,KS,37.7528,-100.01708,27329,http://worldpopulationreview.com/us-cities/dodge-city-ks-population,2018,1634.629477,http://worldpopulationreview.com/us-cities/dodge-city-ks-population,,,,,"https://www.google.com/maps/@37.7528,-100.01708,20000m/data=!3m1!1e3"
701,us,Northern America,Emporia,KS,38.4039,-96.18166,24765,http://worldpopulationreview.com/us-cities/emporia-ks-population,2018,1323.59019,http://worldpopulationreview.com/us-cities/emporia-ks-population,,,,,"https://www.google.com/maps/@38.4039,-96.18166,20000m/data=!3m1!1e3"
702,us,Northern America,Fort Scott,KS,37.83976,-94.7083,7765,http://worldpopulationreview.com/us-cities/fort-scott-ks-population,2018,336.50404,http://worldpopulationreview.com/us-cities/fort-scott-ks-population,,,,,"https://www.google.com/maps/@37.83976,-94.7083,20000m/data=!3m1!1e3"
703,us,Northern America,Garden City,KS,37.97169,-100.87266,26546,http://worldpopulationreview.com/us-cities/garden-city-ks-population,2018,1756.336452,http://worldpopulationreview.com/us-cities/garden-city-ks-population,,,,,"https://www.google.com/maps/@37.97169,-100.87266,20000m/data=!3m1!1e3"
704,us,Northern America,Great Bend,KS,38.36446,-98.76481,15170,http://worldpopulationreview.com/us-cities/great-bend-ks-population,2018,911.73217,http://worldpopulationreview.com/us-cities/great-bend-ks-population,,,,,"https://www.google.com/maps/@38.36446,-98.76481,20000m/data=!3m1!1e3"
705,us,Northern America,Hays,KS,38.87918,-99.32677,20852,http://worldpopulationreview.com/us-cities/hays-ks-population,2018,1448.359068,http://worldpopulationreview.com/us-cities/hays-ks-population,,,,,"https://www.google.com/maps/@38.87918,-99.32677,20000m/data=!3m1!1e3"
706,us,Northern America,Hutchinson,KS,38.06084,-97.92977,40623,http://worldpopulationreview.com/us-cities/hutchinson-ks-population,2018,2422.146375,http://worldpopulationreview.com/us-cities/hutchinson-ks-population,,,,,"https://www.google.com/maps/@38.06084,-97.92977,20000m/data=!3m1!1e3"
707,us,Northern America,Independence,KS,39.95676,-96.86056,8598,http://worldpopulationreview.com/us-cities/independence-ks-population,2018,403.564326,http://worldpopulationreview.com/us-cities/independence-ks-population,,,,,"https://www.google.com/maps/@39.95676,-96.86056,20000m/data=!3m1!1e3"
708,us,Northern America,Junction City,KS,39.02861,-96.8314,22120,http://worldpopulationreview.com/us-cities/junction-city-ks-population,2018,1242.56888,http://worldpopulationreview.com/us-cities/junction-city-ks-population,,,,,"https://www.google.com/maps/@39.02861,-96.8314,20000m/data=!3m1!1e3"
709,us,Northern America,Kansas City,KS,39.11417,-94.62746,152958,http://worldpopulationreview.com/us-cities/kansas-city-ks-population,2018,7966.205598,http://worldpopulationreview.com/us-cities/kansas-city-ks-population,,,,,"https://www.google.com/maps/@39.11417,-94.62746,20000m/data=!3m1!1e3"
710,us,Northern America,Lawrence,KS,39.53257,-98.76503,97286,http://worldpopulationreview.com/us-cities/lawrence-ks-population,2018,6749.118964,http://worldpopulationreview.com/us-cities/lawrence-ks-population,,,,,"https://www.google.com/maps/@39.53257,-98.76503,20000m/data=!3m1!1e3"
711,us,Northern America,Leavenworth,KS,39.31111,-94.92246,36062,http://worldpopulationreview.com/us-cities/leavenworth-ks-population,2018,2523.582698,http://worldpopulationreview.com/us-cities/leavenworth-ks-population,,,,,"https://www.google.com/maps/@39.31111,-94.92246,20000m/data=!3m1!1e3"
712,us,Northern America,Liberal,KS,37.04308,-100.921,19495,http://worldpopulationreview.com/us-cities/liberal-ks-population,2018,1183.716905,http://worldpopulationreview.com/us-cities/liberal-ks-population,,,,,"https://www.google.com/maps/@37.04308,-100.921,20000m/data=!3m1!1e3"
713,us,Northern America,Manhattan,KS,39.18819,-96.60575,54959,http://worldpopulationreview.com/us-cities/manhattan-ks-population,2018,,http://worldpopulationreview.com/us-cities/manhattan-ks-population,,,,,"https://www.google.com/maps/@39.18819,-96.60575,20000m/data=!3m1!1e3"
714,us,Northern America,McPherson,KS,39.17687,-101.94318,13077,http://worldpopulationreview.com/us-cities/mcpherson-ks-population,2018,923.131584,http://worldpopulationreview.com/us-cities/mcpherson-ks-population,,,,,"https://www.google.com/maps/@39.17687,-101.94318,20000m/data=!3m1!1e3"
715,us,Northern America,Medicine Lodge,KS,37.28113,-98.58036,1854,http://worldpopulationreview.com/us-cities/medicine-lodge-ks-population,2018,114.933168,http://worldpopulationreview.com/us-cities/medicine-lodge-ks-population,,,,,"https://www.google.com/maps/@37.28113,-98.58036,20000m/data=!3m1!1e3"
716,us,Northern America,Newton,KS,38.04668,-97.34504,18746,http://worldpopulationreview.com/us-cities/newton-ks-population,2018,1184.597232,http://worldpopulationreview.com/us-cities/newton-ks-population,,,,,"https://www.google.com/maps/@38.04668,-97.34504,20000m/data=!3m1!1e3"
717,us,Northern America,Olathe,KS,38.8814,-94.81913,139605,http://worldpopulationreview.com/us-cities/olathe-ks-population,2018,13681.429605,http://worldpopulationreview.com/us-cities/olathe-ks-population,,,,,"https://www.google.com/maps/@38.8814,-94.81913,20000m/data=!3m1!1e3"
718,us,Northern America,Osawatomie,KS,38.49724,-94.95052,4266,http://worldpopulationreview.com/us-cities/osawatomie-ks-population,2018,243.571536,http://worldpopulationreview.com/us-cities/osawatomie-ks-population,,,,,"https://www.google.com/maps/@38.49724,-94.95052,20000m/data=!3m1!1e3"
719,us,Northern America,Ottawa,KS,39.09572,-97.41215,12267,http://worldpopulationreview.com/us-cities/ottawa-ks-population,2018,661.80465,http://worldpopulationreview.com/us-cities/ottawa-ks-population,,,,,"https://www.google.com/maps/@39.09572,-97.41215,20000m/data=!3m1!1e3"
720,us,Northern America,Overland Park,KS,38.98223,-94.67079,191278,http://worldpopulationreview.com/us-cities/overland-park-ks-population,2018,20112.690422,http://worldpopulationreview.com/us-cities/overland-park-ks-population,,,,,"https://www.google.com/maps/@38.98223,-94.67079,20000m/data=!3m1!1e3"
721,us,Northern America,Pittsburg,KS,39.34817,-98.43977,20178,http://worldpopulationreview.com/us-cities/pittsburg-ks-population,2018,876.976236,http://worldpopulationreview.com/us-cities/pittsburg-ks-population,,,,,"https://www.google.com/maps/@39.34817,-98.43977,20000m/data=!3m1!1e3"
722,us,Northern America,Salina,KS,38.84028,-97.61142,46716,http://worldpopulationreview.com/us-cities/salina-ks-population,2018,2940.585336,http://worldpopulationreview.com/us-cities/salina-ks-population,,,,,"https://www.google.com/maps/@38.84028,-97.61142,20000m/data=!3m1!1e3"
723,us,Northern America,Shawnee,KS,39.04167,-94.72024,65845,http://worldpopulationreview.com/us-cities/shawnee-ks-population,2018,6589.10915,http://worldpopulationreview.com/us-cities/shawnee-ks-population,,,,,"https://www.google.com/maps/@39.04167,-94.72024,20000m/data=!3m1!1e3"
724,us,Northern America,Smith Center,KS,39.77918,-98.78507,1581,http://worldpopulationreview.com/us-cities/smith-center-ks-population,2018,82.890249,http://worldpopulationreview.com/us-cities/smith-center-ks-population,,,,,"https://www.google.com/maps/@39.77918,-98.78507,20000m/data=!3m1!1e3"
725,us,Northern America,Topeka,KS,39.04833,-95.67804,125904,http://worldpopulationreview.com/us-cities/topeka-ks-population,2018,,http://worldpopulationreview.com/us-cities/topeka-ks-population,,,,,"https://www.google.com/maps/@39.04833,-95.67804,20000m/data=!3m1!1e3"
726,us,Northern America,Wichita,KS,37.69224,-97.33754,389255,http://worldpopulationreview.com/us-cities/wichita-ks-population,2018,,http://worldpopulationreview.com/us-cities/wichita-ks-population,,,,,"https://www.google.com/maps/@37.69224,-97.33754,20000m/data=!3m1!1e3"
727,us,Northern America,Ashland,KY,38.47841,-82.63794,20382,http://worldpopulationreview.com/us-cities/ashland-ky-population,2018,1155.598254,http://worldpopulationreview.com/us-cities/ashland-ky-population,,,,,"https://www.google.com/maps/@38.47841,-82.63794,20000m/data=!3m1!1e3"
